variable,type,actual_avg,predicted_avg,mape
sales_revenue,driver,90667000000.0,83037500000.0,8.352244558394531
cost_of_goods_sold,driver,37581250000.0,35575000000.0,5.716707034466668
overhead_expenses,driver,24436750000.0,9362500000.0,61.49933905713182
payroll_expenses,driver,12218375000.0,14937500000.0,22.727556674582907
capex,driver,15893750000.0,9050000000.0,40.21311282609999
net_income,accounting,27315000000.0,22687500000.0,15.825795875869172
ebit,accounting,28649000000.0,24150000000.0,15.622698837209564
total_assets,accounting,452366250000.0,388912500000.0,13.618955798411752
total_equity,accounting,326403625000.0,277800000000.0,14.536964284407993
