period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,68623802000.0,30880710899.999996,37743091100.0,0.55,27743435211.104927,9999655888.895073,3024671255.7214866,17842188520.0,178421885.20000002,17663766634.8,2566530194.799999,15097236440.0,0.22,1.2491507893430416,12086000000.0,6862380200.0,34311900999.999996,10293570299.999998,51467851500.0,280628878950.0,120269519550.0,452366250000.0,15440355449.999998,3431190100.0,18871545550.0,107091079450.0,125962625000.0,62479750000.0,263923875000.0,326403625000.0,18121907695.721485,-7296156700.0,0.0,10825750995.721485,10825750995.721485,-7296156700.0
2,68656870000.0,30895591499.999996,37761278500.0,0.55,27756804040.70665,10004474459.29335,3026128765.0137315,17850786200.0,416633737.3937834,17434152462.606216,2329641062.6062164,15104511400.0,0.22,1.2497527221578686,12086000000.0,6865687000.0,34328435000.000004,10298530499.999998,51492652500.0,283783465644.0,121621485276.0,456897603420.0,15447795749.999998,3432843500.0,18880639250.0,107081985750.0,125962625000.0,62479750000.0,268455228420.0,330934978420.0,18116586265.013725,-7308697600.0,-9093700.0,10798794965.013725,10807888665.013725,-7308697600.0
3,68656870000.0,30895591499.999996,37761278500.0,0.55,27756804040.70665,10004474459.29335,3026128765.0137315,17850786200.0,416633737.3937834,17434152462.606216,2329641062.6062164,15104511400.0,0.22,1.2497527221578686,12086000000.0,6865687000.0,34328435000.000004,10298530499.999998,51492652500.0,286955413038.0,122980891302.0,461428956840.0,15447795749.999998,3432843500.0,18880639250.0,107081985750.0,125962625000.0,62479750000.0,272986581840.0,335466331840.0,18130640165.013733,-7322505000.0,0.0,10808135165.013733,10808135165.013733,-7322505000.0
4,68656870000.0,30895591499.999996,37761278500.0,0.55,27756804040.70665,10004474459.29335,3026128765.0137315,17850786200.0,416633737.3937834,17434152462.606216,2329641062.6062164,15104511400.0,0.22,1.2497527221578686,12086000000.0,6865687000.0,34328435000.000004,10298530499.999998,51492652500.0,290127360432.0,124340297328.0,465960310260.0,15447795749.999998,3432843500.0,18880639250.0,107081985750.0,125962625000.0,62479750000.0,277517935260.0,339997685260.0,18130640165.013733,-7322505000.0,0.0,10808135165.013733,10808135165.013733,-7322505000.0
5,68656870000.0,30895591499.999996,37761278500.0,0.55,27756804040.70665,10004474459.29335,3026128765.0137315,17850786200.0,416633737.3937834,17434152462.606216,2329641062.6062164,15104511400.0,0.22,1.2497527221578686,12086000000.0,6865687000.0,34328435000.000004,10298530499.999998,51492652500.0,293299307826.0,125699703354.0,470491663680.0,15447795749.999998,3432843500.0,18880639250.0,107081985750.0,125962625000.0,62479750000.0,282049288680.0,344529038680.0,18130640165.013733,-7322505000.0,0.0,10808135165.013733,10808135165.013733,-7322505000.0
6,68656870000.0,30895591499.999996,37761278500.0,0.55,27756804040.70665,10004474459.29335,3026128765.0137315,17850786200.0,416633737.3937834,17434152462.606216,2329641062.6062164,15104511400.0,0.22,1.2497527221578686,12086000000.0,6865687000.0,34328435000.000004,10298530499.999998,51492652500.0,296471255220.0,127059109380.0,475023017100.0,15447795749.999998,3432843500.0,18880639250.0,107081985750.0,125962625000.0,62479750000.0,286580642100.0,349060392100.0,18130640165.013733,-7322505000.0,0.0,10808135165.013733,10808135165.013733,-7322505000.0
7,68656870000.0,30895591499.999996,37761278500.0,0.55,27756804040.70665,10004474459.29335,3026128765.0137315,17850786200.0,416633737.3937834,17434152462.606216,2329641062.6062164,15104511400.0,0.22,1.2497527221578686,12086000000.0,6865687000.0,34328435000.000004,10298530499.999998,51492652500.0,299643202614.0,128418515406.0,479554370520.0,15447795749.999998,3432843500.0,18880639250.0,107081985750.0,125962625000.0,62479750000.0,291111995520.0,353591745520.0,18130640165.013733,-7322505000.0,0.0,10808135165.013733,10808135165.013733,-7322505000.0
8,68656870000.0,30895591499.999996,37761278500.0,0.55,27756804040.70665,10004474459.29335,3026128765.0137315,17850786200.0,416633737.3937834,17434152462.606216,2329641062.6062164,15104511400.0,0.22,1.2497527221578686,12086000000.0,6865687000.0,34328435000.000004,10298530499.999998,51492652500.0,302815150008.0,129777921432.0,484085723940.0,15447795749.999998,3432843500.0,18880639250.0,107081985750.0,125962625000.0,62479750000.0,295643348940.0,358123098940.0,18130640165.013733,-7322505000.0,0.0,10808135165.013733,10808135165.013733,-7322505000.0
