period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,49732090000.0,15645196983.82955,34086894920.17045,0.6854104385146286,19873052795.64904,14213842124.521408,3446920137.9501114,20838193056.404423,208381930.56404424,20629811125.840378,2580121527.4277,18049689598.412678,0.3629384750847556,2.4205028293432584,7457000000.0,4973209190.400001,24866045951.999996,5215065661.276517,35054320803.67651,210997362937.42642,90427441258.89705,336479125000.0,7822598491.914776,2486604595.2000003,10309203087.114777,173451296912.88522,183760500000.0,84604375000.0,68114250000.0,152718625000.0,21496609736.36279,-6167696000.0,0.0,15328913864.36279,15328913864.36279,-6167696000.0
2,49732090000.0,15645196983.82955,34086894920.17045,0.6854104385146286,19873052795.64904,14213842124.521408,3446920137.9501114,20838193056.404423,1542321782.4475238,19295871273.956898,1246181675.54422,18049689598.412678,0.3629384750847556,2.4205028293432584,7457000000.0,4973209190.400001,24866045951.999996,5215065661.276517,35054320803.67651,214974870949.48874,92132087549.7809,342161279302.94617,7822598491.914776,2486604595.2000003,10309203087.114777,173451296912.88522,183760500000.0,84604375000.0,73796404302.94617,158400779302.94617,21496609736.36279,-6247129000.0,0.0,15249480648.36279,15249480648.36279,-6247129000.0
3,49419272000.0,15546787167.807491,33872485024.19251,0.6854104385146286,19748049353.92581,14124435670.266697,3425238673.858032,20707118788.241966,1542321782.4475238,19164797005.79444,1228641716.6314964,17936155289.162945,0.3629384750847556,2.4052776303021246,7457000000.0,4941927219.2,24709636096.0,5182262389.269164,34833825704.46916,219081706617.3898,93892159978.88135,347807692300.74036,7773393583.903746,2470963609.6,10244357193.503746,173516142806.49625,183760500000.0,84604375000.0,79442817300.74036,164047192300.74036,21501402183.017296,-5600205000.0,64845893.61102295,15966043276.628319,15901197383.017296,-5600205000.0
4,49360118000.0,15528177800.984694,33831939959.015305,0.6854104385146286,19724411113.400925,14107528845.61438,3421138693.440892,20682332550.081356,1542321782.4475238,19140010767.63383,1225324897.8154716,17914685869.81836,0.3629384750847555,2.40239853423875,7457000000.0,4936011776.0,24680058879.999996,5176059266.994898,34792129922.994896,223058651668.3627,95596565000.72688,353447346592.0845,7764088900.492347,2468005888.0,10232094788.492348,173528405211.50766,183760500000.0,84604375000.0,85082471592.08447,169686846592.08447,21362300218.12212,-6138252300.0,12262405.011413574,15236310335.133533,15224047930.12212,-6138252300.0
