sales_revenue,cost_of_goods_sold,overhead_expenses,payroll_expenses,capex,period
56265998336.0,16642131968.0,14574521344.0,7287260672.0,9764103168.0,1
56276992000.0,16943451136.0,14622997504.0,7311498752.0,9764103168.0,2
56249909248.0,17058867200.0,14655695872.0,7327847936.0,9542780928.0,3
56249430016.0,16776792064.0,14312579072.0,7156289536.0,9574983680.0,4
