period,assumptions_source,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex,identity_check
1,historical_average,116411540000.0,62202604950.77562,54208934505.22438,0.46566633134951113,25876457873.889004,28332476631.335377,3337618444.132786,36957962589.298386,369579625.89298385,36588382963.4054,6916272847.752972,29672110115.65243,0.2548897665498838,1.9849556889087487,14948500000,11641153945.6,58205769727.99999,20734201650.25854,90581125323.85854,177530674773.299,76084574902.84244,344196375000.0,31101302475.38781,5820576972.8,36921879448.18781,239140870551.8122,276062750000.0,84253750000.0,-16120125000.0,68133625000.0,33009728559.785217,-2881440500.0,0.0,30128288047.785217,30128288047.785217,-2881440500.0,True
2,historical_average,92133620000.0,49230096121.07732,42903525638.92268,0.46566633134951113,20479857867.892704,22423667771.02998,2641549770.3057003,29250287060.327557,345078437.5,28905208622.827557,5421291281.02586,23483917341.801697,0.2548897665498838,1.5709882156605477,14948500000,9213362176.0,46066810880.0,16410032040.359104,71690205096.3591,190754318932.5486,81751850971.09227,344196375000.0,24615048060.53866,4606681088.0,29221729148.53866,248047370050.8893,277269099199.428,84253750000.0,-17326474199.427948,66927275800.57205,36102341155.15768,-2354291200.0,8906499499.077118,42654549454.234795,33748049955.157677,-2354291200.0,True
3,historical_average,85152280000.0,45499728285.49914,39652548194.50086,0.46566633134951113,18928014400.439247,20724533794.061615,2441388627.516291,27033871927.541367,346586373.999285,26687285553.54208,4982841680.363716,21704443873.178364,0.2548897665498838,1.4519479461603748,14948500000,8515227648.0,42576138240.0,15166576095.16638,66257941983.16638,194556903111.7835,83381529905.05008,344196375000.0,22749864142.74957,4257613824.0,27007477966.74957,251376560367.80432,278384038334.5539,84253750000.0,-18441413334.553886,65812336665.44611,27014777168.098293,-2219910400.0,3329190316.9150085,28124057085.0133,24794866768.098293,-2219910400.0,True
4,historical_average,89901550000.0,48037423703.717865,41864123816.282135,0.46566633134951113,19983702801.885834,21880421014.3963,2577554291.962993,28541655281.691586,347980047.9181924,28193675233.77339,5278690773.927303,22914984459.84609,0.2548897665498838,1.5329286858110238,14948500000,8990154752.0,44950773760.0,16012474567.905954,69953403079.90596,191970080344.06583,82272891576.02821,344196375000.0,24018711851.858932,4495077376.0,28513789227.858932,251047372699.6499,279561161927.50885,84253750000.0,-19618536927.508858,64635213072.49114,23540852468.17887,-2876525000.0,-329187668.15441895,20335139744.024452,20664327412.17887,-2876525000.0,True
