variable,type,actual_avg,predicted_avg,mape
sales_revenue,driver,31803000000.0,25610780000.0,19.457298837241787
cost_of_goods_sold,driver,17468750000.0,14356910000.0,17.668588108217158
overhead_expenses,driver,9020750000.0,8830355750.0,5.51973459650821
payroll_expenses,driver,4510375000.0,4415177825.0,5.519733386001007
capex,driver,529750000.0,608579450.0,15.739060046788806
net_income,accounting,4167500000.0,3420233717.112282,17.321715490625113
ebit,accounting,5313500000.0,4254175701.5832634,19.759661807706884
total_assets,accounting,1758790500000.0,1543467687092.6753,12.170914018304222
total_equity,accounting,123598000000.0,117400187092.67517,5.012419827771892
