period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,59874783000.0,52563523041.54723,7311260190.452766,0.12210917177141899,7914994657.190635,-603734466.7378683,553930926.5190904,2034597085.659008,20345970.85659008,2014251114.802418,456587300.7971482,1557663814.0052698,0.0260153562138122,3.5096193201523787,443827000.0,5987478323.200001,29937391616.000004,17521174347.18241,53446044286.382416,9263768999.532309,3970186714.085275,66680000000.0,26281761520.773617,2993739161.6000004,29275500682.37362,14880874317.62638,44156375000.0,2500000.0,22521125000.0,22523625000.0,2111594740.5243602,-1077781400.0,0.0,1033813364.5243602,1033813364.5243602,-1077781400.0
2,68792934000.0,60392686156.69044,8400248243.309563,0.12210917177141899,9093906964.450785,-693658721.141222,636437108.1312411,2337643600.3423676,192430278.3162178,2145213322.0261497,355540628.61673474,1789672693.409415,0.0260153562138122,4.032365523975367,443827000.0,6879293440.0,34396467200.0,20130895385.56348,61406656025.56348,4485068775.5321,1922172332.3709,67813897133.46648,30196343078.345222,3439646720.0,33635989798.345222,10520385201.654778,44156375000.0,2500000.0,23655022133.466476,23657522133.466476,-728105263.2688036,-1261999000.0,-4360489115.971603,-6350593355.240407,-1990104239.2688036,-1261999000.0
3,67882422000.0,59593355910.52835,8289066361.471649,0.12210917177141899,8973544129.891483,-684477768.4198341,628013514.7678107,2306703608.210657,192430278.3162178,2114273329.8944392,348287933.8319404,1765985396.0624988,0.0260153562138122,3.978994959888648,443827000.0,6788242227.200001,33941211136.0,19864451970.176117,60593905333.376114,5837216829.1951065,2501664355.3693314,68932786517.94055,29796677955.264175,3394121113.6000004,33190799068.864174,10965575931.135826,44156375000.0,2500000.0,24773911517.940556,24776411517.940556,2716033267.136626,-1081829200.0,445190729.4810486,2079394748.6176744,1634204019.1366258,-1081829200.0
4,68614107000.0,60235695341.78763,8378411794.212372,0.12210917177141899,9070267349.195133,-691855554.9827614,634782689.5816061,2331566894.7489467,192430278.3162178,2139136616.4327288,354116177.99701524,1785020438.4357135,0.0260153562138122,4.021883387977103,443827000.0,6861410713.6,34307053568.0,20078565113.92921,61247029395.529205,6171694682.837571,2645012006.930388,70063736085.29716,30117847670.893814,3430705356.8,33548553027.693813,10607821972.306187,44156375000.0,2500000.0,25904861085.297173,25907361085.297173,2161017267.8938646,-1099687600.0,-357753958.82963943,703575757.0642252,1061329715.8938646,-1099687600.0
