period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,87092855000.0,64650602272.85406,22442252511.145943,0.25768190245692635,14339703223.424133,8102549287.721809,5061917436.016049,12882450362.19652,128824503.6219652,12753625858.574554,1704668007.4142246,11048957851.16033,0.12686411392258273,2.7450826959404546,4025000000.0,8709285478.4,43546427392.0,21550200757.61802,73805913628.01802,202572797960.3874,86816913411.59459,363195625000.0,32325301136.427032,4354642739.2,36679943875.62703,132368556124.37297,169048500000.0,15949875000.0,178197250000.0,194147125000.0,16110875287.17638,-4996730400.0,0.0,11114144919.17638,11114144919.17638,-4996730400.0
2,81230910000.0,60299177197.72943,20931736338.27057,0.25768190245692635,13374543704.678963,7557192633.591606,4721215977.948745,12015373868.484596,764439865.1328838,11250934003.351713,945646134.4851418,10305287868.866571,0.12686411392258273,2.5603199674202664,4025000000.0,8123091353.6,40615456768.0,20099725732.576477,68838273854.17648,208748593021.8094,89463682723.6326,367050549599.61847,30149588598.86472,4061545676.8,34211134275.66472,134837365724.33528,169048500000.0,15949875000.0,182052174599.6185,198002049599.6185,17232236958.294544,-5646266400.0,2468809599.962311,14054780190.256855,11585970590.294544,-5646266400.0
3,86675550000.0,64340826493.36679,22334719618.63321,0.25768190245692635,14270993998.954659,8063725619.678551,5037663069.24582,12820723619.330103,764439865.1328838,12056283754.19722,1060267397.942379,10996016356.25484,0.12686411392258273,2.7319295295043085,4025000000.0,8667554611.2,43337773056.0,21446942164.455597,73452269831.6556,208398110820.54666,89313476065.94856,371163856718.1508,32170413246.683395,4333777305.6,36504190552.283394,132544309447.71661,169048500000.0,15949875000.0,186165481718.15088,202115356718.15088,13984971353.440216,-5430386700.0,-2293056276.6186676,6261528388.821548,8554584665.440216,-5430386700.0
4,95138865000.0,70623301382.03967,24515563769.960327,0.25768190245692635,15664466329.37424,8851097440.586086,5529559015.490688,14072586217.044174,764439865.1328838,13308146351.911291,1238438524.8027267,12069707827.108564,0.12686411392258273,2.9986851744369103,4025000000.0,9513886515.2,47569432576.0,23541100460.679893,80624419551.87988,206538067901.92767,88516314815.11186,375678802268.91943,35311650691.01984,4756943257.6,40068593948.619835,128979906051.38016,169048500000.0,15949875000.0,190680427268.91946,206630302268.91946,14414686470.711395,-5020035600.0,-3564403396.3364563,5830247490.374939,9394650886.711395,-5020035600.0
