date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2018-12-31,13009000000,4477000000,2538000000,2708000000,2708000000,4477000000,377000000,379500000,931796000000,841611000000,90185000000,364807000000,100100000000,9000000,2035000000,521000000,1250000000,18101000000,5824000000,2912000000.0
2019-03-31,13186000000,4603000000,2251000000,2719000000,2719000000,4379000000,368000000,379799996,925349000000,835076000000,90273000000,362636000000,101988000000,9000000,2128000000,375000000,1250000000,-45006000000,5864000000,2932000000.0
2019-06-30,14150000000,4903000000,2421000000,3127000000,3127000000,4689000000,399000000,374500000,944903000000,854011000000,90892000000,362128000000,103867000000,9000000,2040000000,535000000,1250000000,9439000000,6120000000,3060000000.0
2019-09-30,12774000000,4742000000,1877000000,2416000000,2416000000,4451000000,473000000,369999996,1007320000000,915308000000,92012000000,397754000000,105194000000,9000000,2229000000,550000000,1173000000,8084000000,5616000000,2808000000.0
2019-12-31,13792000000,4193000000,1917000000,2321000000,2321000000,3857000000,464000000,362400000,992968000000,902703000000,90265000000,394781000000,106465000000,9000000,2046000000,644000000,2762000000,51351000000,7278000000,3639000000.0
2020-03-31,12179000000,4374000000,1213000000,1348000000,1348000000,3437000000,437000000,358000000,1089756000000,997377000000,92379000000,397973000000,106501000000,9000000,2843000000,538000000,2278000000,-53031000000,6457000000,3228500000.0
2020-06-30,15385000000,3680000000,373000000,1291000000,1291000000,2090000000,499000000,355699996,1141523000000,1051494000000,90029000000,383395000000,106248000000,9000000,1065000000,626000000,16000000,-11647000000,10414000000,5207000000.0
2020-09-30,12629000000,2126000000,3367000000,4299000000,4299000000,1848000000,468000000,355900000,1132059000000,1039409000000,92650000000,390492000000,109033000000,9000000,998000000,580000000,9000000,34936000000,6204000000,3102000000.0
2020-12-31,13304000000,1856000000,4506000000,5541000000,5541000000,1563000000,498000000,355999996,1163028000000,1067096000000,95932000000,420960000000,112947000000,9000000,1403000000,592000000,1000000,16014000000,5907000000,2953500000.0
2021-03-31,19276000000,1502000000,6836000000,8337000000,8337000000,1572000000,498000000,356599996,1301548000000,1203884000000,97664000000,438101000000,119210000000,9000000,1312000000,551000000,4700000000,-5183000000,9437000000,4718500000.0
