period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,25633186000.0,11212547243.128721,14420638548.871279,0.5625769136106326,15244111739.986412,-823473191.1151333,1107059630.0396752,4257897388.880335,42578973.88880335,4215318414.9915314,792092569.3751888,3423225845.6163425,0.13354664041348757,10.10695555245451,338700000.0,2563318579.2000003,12816592895.999998,3737515747.7095737,19117427222.909573,1066309525943.9631,456989796833.1271,1542416750000.0,5606273621.564361,1281659289.6000001,6887932911.164361,1419179567088.8357,1426067500000.0,9000000.0,116340250000.0,116349250000.0,4530285475.656017,-583071700.0,0.0,3947213795.6560173,3947213795.6560173,-583071700.0
2,25584607000.0,11191297859.48117,14393309372.51883,0.5625769136106326,15215221963.943096,-821912591.4242668,1104961593.4125524,4249828063.223431,849965612.6446862,3399862450.578745,-16875891.55347252,3416738342.1322174,0.13354664041348757,10.087801423478647,338700000.0,2558460723.2000003,12792303616.0,3730432619.827057,19081196959.027058,1066824823226.5608,457210638525.6689,1543116658711.2568,5595648929.740585,1279230361.6000001,6874879291.340586,1419192620708.6594,1426067500000.0,9000000.0,117040158711.2569,117049158711.2569,4542447651.603509,-617592800.0,13053619.823730469,3937908439.4272394,3924854819.603509,-617592800.0
3,25433463000.0,11125183788.546394,14308278995.453606,0.5625769136106326,15125336029.63564,-817057034.1820335,1098433886.7886784,4224721642.36318,844944328.4726361,3379777313.890544,-16776194.994122505,3396553508.8846664,0.13354664041348757,10.028206403556736,338700000.0,2543346278.4,12716731392.0,3708394596.1821313,18968472266.58213,1067390772246.9133,457453188105.82,1543812432619.3154,5562591894.273197,1271673139.2,6834265033.473197,1419233234966.5269,1426067500000.0,9000000.0,117735932619.31537,117744932619.31537,4559540607.850882,-632767000.0,40614257.86743164,3967387889.718313,3926773631.8508816,-632767000.0
4,23133100000.0,10118952013.751415,13014148018.248585,0.5625769136106326,13757305262.07748,-743157243.8288956,999084599.5853311,3842611176.8635983,768522235.3727198,3074088941.4908786,-15258850.131863117,3089347791.6227417,0.13354664041348757,9.12119218075802,338700000.0,2313310003.2000003,11566550016.0,3372984004.583805,17252844023.783806,1069034702626.7639,458157729697.1845,1544445276347.7322,5059476006.875708,1156655001.6000001,6216131008.475708,1419851368991.5244,1426067500000.0,9000000.0,118368776347.73201,118377776347.73201,5070908471.408909,-746758700.0,618134024.9975586,4942283776.406467,4324149751.408909,-746758700.0
