date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2013-06-30,13107000000,5195000000,3228000000,3465000000,3701000000,19000000,1030000000,13299194680,101182000000,22330000000,78852000000,4989000000,54916000000,24334000000,1611000000,0,0,4705000000,4447000000,2223500000.0
2013-09-30,13754000000,5409000000,2970000000,3761000000,3775000000,19000000,974000000,13344634662,105068000000,22079000000,82989000000,5247000000,57886000000,25004000000,2289000000,0,0,5083000000,4584000000,2292000000.0
2013-12-31,16858000000,7438000000,3376000000,3922000000,4047000000,21000000,1036000000,13393434642,110920000000,23611000000,87309000000,5245000000,61262000000,25922000000,2255000000,0,0,5238000000,5498000000,2749000000.0
2014-03-31,15420000000,5961000000,3452000000,4115000000,4472000000,24000000,1086000000,13451734619,116526000000,24815000000,91711000000,6243000000,64714000000,26652000000,2345000000,0,0,4391000000,5344000000,2672000000.0
2014-06-30,15955000000,6114000000,3351000000,4258000000,4403000000,27000000,1079000000,13502294599,121608000000,25859000000,95749000000,5241000000,68136000000,27111000000,2646000000,0,0,5627000000,5583000000,2791500000.0
2014-09-30,16523000000,6695000000,2739000000,3724000000,3857000000,25000000,1547000000,13541934583,125781000000,26966000000,98815000000,5239000000,70949000000,27948000000,2417000000,0,0,5994000000,6104000000,3052000000.0
2014-12-31,18103000000,6921000000,4757000000,4399000000,4527000000,25000000,1267000000,13578854568,131133000000,26633000000,104500000000,5237000000,75706000000,28767000000,3551000000,0,0,6364000000,6783000000,3391500000.0
2015-03-31,17258000000,6356000000,3515000000,4447000000,4604000000,26000000,1177000000,13618294552,133400000000,24952000000,108448000000,5235000000,79292000000,29527000000,2927000000,0,0,6617000000,6455000000,3227500000.0
2015-06-30,17727000000,6583000000,3931000000,4825000000,4956000000,26000000,1234000000,13663321188,138807000000,27024000000,111783000000,5233000000,81990000000,30722000000,2515000000,0,0,6985000000,6319000000,3159500000.0
2015-09-30,18675000000,7037000000,3979000000,4708000000,4891000000,26000000,1248000000,13720684167,144281000000,28040000000,116241000000,5231000000,85969000000,31864000000,2373000000,0,0,6007000000,6930000000,3465000000.0
2015-12-31,21329000000,8188000000,4923000000,5380000000,5200000000,26000000,1404000000,13751391147,147461000000,27130000000,120331000000,5220000000,89223000000,32982000000,2100000000,0,1780000000,6415000000,7761000000,3880500000.0
2016-03-31,20257000000,7648000000,4207000000,5342000000,5129000000,30000000,1371000000,13748360514,149747000000,26178000000,123569000000,5208000000,91168000000,33695000000,2428000000,0,2098000000,7658000000,7267000000,3633500000.0
2016-06-30,21500000000,8130000000,4877000000,5968000000,6119000000,32000000,1490000000,13718700560,154292000000,26413000000,127879000000,4203000000,94737000000,34293000000,2123000000,0,1595000000,9120000000,7402000000,3701000000.0
2016-09-30,22451000000,8699000000,5061000000,5767000000,6045000000,29000000,1596000000,13752711890,159948000000,25845000000,134103000000,3938000000,99798000000,35337000000,2554000000,0,0,9845000000,7985000000,3992500000.0
2016-12-31,26064000000,10661000000,5333000000,6639000000,6857000000,33000000,1687000000,13798183355,167497000000,28461000000,139036000000,3935000000,105131000000,36307000000,3078000000,0,3693000000,9413000000,8764000000,4382000000.0
2017-03-31,24750000000,9795000000,5426000000,6568000000,6819000000,25000000,1503000000,13824198292,172756000000,27807000000,144949000000,3937000000,109420000000,37698000000,2508000000,0,1127000000,9548000000,8387000000,4193500000.0
2017-06-30,26010000000,10373000000,3524000000,4132000000,4377000000,21000000,1625000000,13846752811,178621000000,30335000000,148286000000,3955000000,111505000000,38509000000,2831000000,0,1618000000,7403000000,11505000000,5752500000.0
2017-09-30,27772000000,11148000000,6732000000,7782000000,7979000000,27000000,1761000000,13866111858,189536000000,32436000000,157100000000,3964000000,118237000000,39609000000,3538000000,0,0,9872000000,8842000000,4421000000.0
2017-12-31,32323000000,14267000000,-3020000000,7664000000,8018000000,36000000,2026000000,13885051917,197295000000,44793000000,152502000000,3969000000,113247000000,40247000000,4307000000,0,2101000000,10268000000,10392000000,5196000000.0
2018-03-31,31146000000,13467000000,9401000000,7633000000,10543000000,30000000,1986000000,13896520679,206935000000,46110000000,160825000000,5302000000,120008000000,41487000000,7299000000,0,2173000000,11642000000,10046000000,5023000000.0
2018-06-30,32657000000,13883000000,3195000000,3045000000,4215000000,27000000,2114000000,13891298791,211610000000,49610000000,162000000000,3981000000,121282000000,42243000000,5477000000,0,2052000000,10132000000,15729000000,7864500000.0
2018-09-30,33740000000,14281000000,9192000000,8625000000,10083000000,28000000,2355000000,13916724183,221538000000,51698000000,169840000000,3986000000,128405000000,43111000000,5282000000,0,2200000000,13210000000,10834000000,5417000000.0
