period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,68639166000.0,30003458995.318295,38635707468.6817,0.5628813614592105,28122515449.56124,10513192019.12046,3672487632.7734475,19887363835.640877,198873638.35640877,19688490197.28447,1570550994.950962,18117939202.333508,0.2639591961221738,1.3936876309487314,13000000000.0,6863916646.400001,34319583232.000004,10001152998.439432,51184652876.83943,205609930486.2124,88118541636.94817,344913125000.0,15001729497.65915,3431958323.2000003,18433687820.85915,82807812179.14085,101241500000.0,61855125000.0,181816500000.0,243671625000.0,21790426835.106956,-7358587000.0,0.0,14431839955.106956,14431839955.106956,-7358587000.0
2,68656870000.0,30011197268.109943,38645672107.89006,0.5628813614592105,28129768603.14497,10515903504.74509,3673434813.934486,19892493039.126743,300691846.6457663,19591801192.480976,1469189143.726925,18122612048.75405,0.2639591961221738,1.3940470806733885,13000000000.0,6865686937.6,34328434688.0,10003732422.703314,51197854048.303314,208877149089.8937,89518778181.38301,349593781319.58,15005598634.05497,3432843468.8,18438442102.85497,82803057897.14503,101241500000.0,61855125000.0,186497156319.58002,248352281319.58002,21788485118.82048,-6981205000.0,-4754281.995819092,14802525844.824661,14807280126.82048,-6981205000.0
3,68656870000.0,30011197268.109943,38645672107.89006,0.5628813614592105,28129768603.14497,10515903504.74509,3673434813.934486,19892493039.126743,300691846.6457663,19591801192.480976,1469189143.726925,18122612048.75405,0.2639591961221738,1.3940470806733885,13000000000.0,6865686937.6,34328434688.0,10003732422.703314,51197854048.303314,212153608513.59967,90922975077.257,354274437639.16003,15005598634.05497,3432843468.8,18438442102.85497,82803057897.14503,101241500000.0,61855125000.0,191177812639.16003,253032937639.16003,21796046862.688538,-7358587000.0,0.0,14437459982.688538,14437459982.688538,-7358587000.0
4,68656870000.0,30011197268.109943,38645672107.89006,0.5628813614592105,28129768603.14497,10515903504.74509,3673434813.934486,19892493039.126743,300691846.6457663,19591801192.480976,1469189143.726925,18122612048.75405,0.2639591961221738,1.3940470806733885,13000000000.0,6865686937.6,34328434688.0,10003732422.703314,51197854048.303314,215430067937.30573,92327171973.13103,358955093958.74005,15005598634.05497,3432843468.8,18438442102.85497,82803057897.14503,101241500000.0,61855125000.0,195858468958.74005,257713593958.74005,21796046862.688538,-7057426400.0,0.0,14738620430.688538,14738620430.688538,-7057426400.0
