sales_revenue,cost_of_goods_sold,overhead_expenses,payroll_expenses,capex,period
69530943488.0,30335985664.0,20624691200.0,10312345600.0,9773721600.0,1
69530329088.0,30335987712.0,20626944000.0,10313472000.0,9773721600.0,2
69368766464.0,30274490368.0,20214542336.0,10107271168.0,6581740032.0,3
69389623296.0,30229579776.0,20149760000.0,10074880000.0,6682490880.0,4
