period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,7670634500.0,4500093911.723072,3170540584.276928,0.41333485332018716,2414320760.2955093,756219823.9814186,3289753491.677493,1560993410.746588,15609934.10746588,1545383476.639122,257067519.88088632,1288315956.7582357,0.16795428819220273,0.289588596594625,4448780000.0,767063449.6,3835317248.0,1500031303.9076908,6102412001.507691,26085814298.944614,11179634699.547693,43367861000.0,2250046955.861536,383531724.8,2633578680.661536,24968631069.338463,27602209750.0,3949066500.0,11816584750.0,15765651250.0,4578069448.435729,-92732664.0,0.0,4485336784.435729,4485336784.435729,-92732664.0
2,7667701000.0,4498373077.354904,3169328170.645096,0.41333485332018716,2413397524.864961,755930645.7801347,3288495491.070765,1560396487.4017887,312079297.48035777,1248317189.921431,-39506115.25687361,1287823305.1783047,0.16795428819220276,0.2894778580146253,4448780000.0,766770124.8000001,3833850624.0,1499457692.4516346,6100078441.251635,26935342694.67438,11543718297.717592,44579139433.64361,2249186538.677452,383385062.40000004,2632571601.077452,24969638148.922546,27602209750.0,3949066500.0,13027863183.643606,16976929683.643606,4577498614.521042,-105619150.0,1007079.5840835571,4472886542.105125,4471879462.521042,-105619150.0
3,7664215600.0,4496328140.999783,3167887411.0002174,0.41333485332018716,2412300407.250862,755587003.7493553,3287000558.5990243,1559687139.4996426,311937427.8999285,1247749711.599714,-39488155.98805618,1287237867.5877702,0.16795428819220273,0.2893462629277623,4448780000.0,766421555.2,3832107776.0,1498776046.9999275,6097305378.199927,27784793293.870327,11907768554.515856,45789867226.58611,2248164070.4998913,383210777.6,2631374848.099891,24970834901.90011,27602209750.0,3949066500.0,14238590976.58611,18187657476.58611,4575640451.46094,-115367230.0,1196752.9775619507,4461469972.438502,4460273219.46094,-115367230.0
4,7667333000.0,4498157109.487787,3169176010.5122128,0.41333485332018716,2413281657.126339,755894353.3858738,3288337609.688982,1560321572.4279869,312064314.4855974,1248257257.9423895,-39504218.55971146,1287761476.502101,0.16795428819220273,0.2894639601198758,4448780000.0,766733312.0,3833666560.0,1499385703.1625957,6099785575.162596,28630911351.92876,12270390579.39804,47001087506.4894,2249078554.7438936,383366656.0,2632445210.7438936,24969764539.256107,27602209750.0,3949066500.0,15449811256.489395,19398877756.489395,4574845130.272417,-136375100.0,-1070362.644001007,4437399663.628416,4438470026.272417,-136375100.0
