period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,20531239000.0,10548251470.286793,9982987441.713207,0.48623404970843725,8045730300.228199,1937257141.4850082,720942874.8850437,4619167241.561076,46191672.41561076,4572975569.145466,832775002.1144567,3740200567.031009,0.1821712066700931,1.5678895690760886,2385500000.0,2053123891.2,10265619456.0,3516083823.428931,15834827170.628933,72127158480.55974,30911639348.811317,118873625000.0,5274125735.143396,1026561945.6,6300687680.743397,66279437319.25661,72580125000.0,4009000000.0,42284500000.0,46293500000.0,4461143441.916053,-900898750.0,0.0,3560244689.916053,3560244689.916053,-900898750.0
2,19710628000.0,10126649443.060934,9583978396.939066,0.48623404970843725,7724151295.912283,1859827101.026783,692127579.9120553,4434544199.664211,258132886.7239747,4176411312.9402366,585702455.1023059,3590708857.8379307,0.1821712066700931,1.5052227448492688,2385500000.0,1971062784.0,9855313920.0,3375549814.3536444,15201926518.353645,72570188937.15245,31101509544.493908,118873625000.0,5063324721.530467,985531392.0,6048856113.530467,66531268886.469536,72580125000.0,4009000000.0,40838711271.45223,44847711271.45223,4622874969.212343,-792614200.0,251831567.21292877,4082092328.425272,3830260761.212343,-792614200.0
3,20018668000.0,10284909741.983643,9733757778.016357,0.48623404970843725,7844865111.462891,1888892666.5534668,702944219.5425098,4503847703.707765,258132886.7239747,4245714816.98379,598889998.9379897,3646824818.0458,0.1821712066700931,1.5287465177303712,2385500000.0,2001866752.0,10009333760.0,3428303247.327881,15439503759.32788,72403884868.47047,31030236372.201633,118873625000.0,5142454870.991821,1000933376.0,6143388246.991821,66436736753.00818,72580125000.0,4009000000.0,39370327610.82494,43379327610.82494,4222125914.075428,-812339840.0,-94532133.46135712,3315253940.614071,3409786074.075428,-812339840.0
4,20167023000.0,10361129526.530296,9805893065.469704,0.48623404970843725,7903002124.192564,1902890941.2771397,708153624.2243161,4537224982.674662,258132886.7239747,4279092095.950687,605241255.4230185,3673850840.5276685,0.1821712066700931,1.5400758082279054,2385500000.0,2016702259.2,10083511296.0,3453709842.1767654,15553923397.376766,72323791121.83626,30995910480.78697,118873625000.0,5180564763.265148,1008351129.6,6188915892.865149,66391209107.13485,72580125000.0,4009000000.0,37891061998.96497,41900061998.96497,4320530226.176427,-743641540.0,-45527645.87332916,3531361044.3030977,3576888690.176427,-743641540.0
