period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,148479900000.0,93502340678.56609,54977561017.433914,0.37026937915136693,57334390167.230835,-2356829149.796921,2015309433.8461685,16754634239.280016,167546342.39280015,16587087896.887217,3713945317.795429,12873142579.091787,0.0866995629176025,5.0644278648996455,2541875000.0,14847990169.6,74239950848.0,31167446892.855362,120255387910.45537,1138620988550.1812,487980423664.3634,1746856800125.0,46751170339.28304,7423995084.8,54175165424.083046,577529115575.917,631704281000.0,998809.75,1115151520315.25,1115152519125.0,14888452012.937956,-10614617000.0,0.0,4273834924.937956,4273834924.937956,-10614617000.0
2,148479900000.0,93502340678.56609,54977561017.433914,0.37026937915136693,57334390167.230835,-2356829149.796921,2015309433.8461685,16754634239.280016,3350926847.8560033,13403707391.424013,530564812.3322258,12873142579.091787,0.0866995629176025,5.0644278648996455,2541875000.0,14847990169.6,74239950848.0,31167446892.855362,120255387910.45537,1139667046452.0222,488428734193.7238,1748351168556.2014,46751170339.28304,7423995084.8,54175165424.083046,577529115575.917,631704281000.0,998809.75,1116645888746.4514,1116646887556.2014,14888452012.937956,-10614617000.0,0.0,4273834924.937956,4273834924.937956,-10614617000.0
3,148479900000.0,93502340678.56609,54977561017.433914,0.37026937915136693,57334390167.230835,-2356829149.796921,2015309433.8461685,16754634239.280016,3350926847.8560033,13403707391.424013,530564812.3322258,12873142579.091787,0.0866995629176025,5.0644278648996455,2541875000.0,14847990169.6,74239950848.0,31167446892.855362,120255387910.45537,1140713104353.8633,488877044723.0842,1749845536987.4028,46751170339.28304,7423995084.8,54175165424.083046,577529115575.917,631704281000.0,998809.75,1118140257177.6528,1118141255987.4028,14888452012.937956,-10614617000.0,0.0,4273834924.937956,4273834924.937956,-10614617000.0
4,148479900000.0,93502340678.56609,54977561017.433914,0.37026937915136693,57334390167.230835,-2356829149.796921,2015309433.8461685,16754634239.280016,3350926847.8560033,13403707391.424013,530564812.3322258,12873142579.091787,0.0866995629176025,5.0644278648996455,2541875000.0,14847990169.6,74239950848.0,31167446892.855362,120255387910.45537,1141759162255.704,489325355252.44464,1751339905418.6042,46751170339.28304,7423995084.8,54175165424.083046,577529115575.917,631704281000.0,998809.75,1119634625608.8542,1119635624418.6042,14888452012.937956,-10579150000.0,0.0,4309302188.937956,4309302188.937956,-10579150000.0
