period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,7661269000.0,4520148710.000001,3141120289.999999,0.41,2213136662.839487,927983627.160512,2968524789.502098,1417334765.0,14173347.65,1403161417.35,62439342.349999905,1340722075.0,0.175,0.31499338047857905,4256350000.0,766126900.0,3830634499.9999995,1506716236.666667,6103477636.666667,31838200441.833332,13644943046.5,51586621125.0,2260074355.0000005,383063450.0,2643137805.0000005,25635392570.0,28278530375.0,6143216750.0,17164874000.0,23308090750.0,4309246864.502098,-103365620.0,0.0,4205881244.502098,4205881244.502098,-103365620.0
2,7667701000.0,4523943590.000001,3143757409.999999,0.41,2214994696.4126964,928762713.5873027,2971017007.3639274,1418524685.0,283704937.0,1134819748.0,-207027927.0,1341847675.0,0.175,0.3152578324150974,4256350000.0,766770100.0,3833850500.0,1507981196.666667,6108601796.666667,32726942233.708332,14025832385.875,52861376416.25,2261971795.0000005,383385050.0,2645356845.0000005,25633173530.0,28278530375.0,6143216750.0,18439629291.25,24582846041.25,4310281162.363928,-98011010.0,-2219040.0,4210051112.363928,4212270152.363928,-98011010.0
3,7667701000.0,4523943590.000001,3143757409.999999,0.41,2214994696.4126964,928762713.5873027,2971017007.3639274,1418524685.0,283704937.0,1134819748.0,-207027927.0,1341847675.0,0.175,0.3152578324150974,4256350000.0,766770100.0,3833850500.0,1507981196.666667,6108601796.666667,33619270937.583332,14408258973.25,54136131707.5,2261971795.0000005,383385050.0,2645356845.0000005,25633173530.0,28278530375.0,6143216750.0,19714384582.5,25857601332.5,4312864682.363928,-98395850.0,0.0,4214468832.363928,4214468832.363928,-98395850.0
4,7667701000.0,4523943590.000001,3143757409.999999,0.41,2214994696.4126964,928762713.5873027,2971017007.3639274,1418524685.0,283704937.0,1134819748.0,-207027927.0,1341847675.0,0.175,0.3152578324150974,4256350000.0,766770100.0,3833850500.0,1507981196.666667,6108601796.666667,34511599641.458336,14790685560.625,55410886998.75,2261971795.0000005,383385050.0,2645356845.0000005,25633173530.0,28278530375.0,6143216750.0,20989139873.75,27132356623.75,4312864682.363928,-98474740.0,0.0,4214389942.363928,4214389942.363928,-98474740.0
5,7658335700.0,4518418063.000001,3139917636.999999,0.41,2212289310.557103,927628326.4428959,2967388218.815826,1416792104.5,283358420.90000004,1133433683.6,-206775063.9000001,1340208747.5,0.175,0.3148727777320944,4256350000.0,765833570.0,3829167850.0000005,1506139354.3333337,6101140774.333334,35408061174.17916,15174883360.3625,56684085308.875,2259209031.5000005,382916785.0,2642125816.5000005,25636404558.5,28278530375.0,6143216750.0,22262338183.875,28405554933.875,4311358695.149159,-107420536.0,3231028.5,4207169187.6491594,4203938159.1491594,-107420536.0
6,7667701000.0,4523943590.000001,3143757409.999999,0.41,2214994696.4126964,928762713.5873027,2971017007.3639274,1418524685.0,283704937.0,1134819748.0,-207027927.0,1341847675.0,0.175,0.3152578324150974,4256350000.0,766770100.0,3833850500.0,1507981196.666667,6108601796.666667,36295167162.42083,15555071641.0375,57958840600.125,2261971795.0000005,383385050.0,2645356845.0000005,25633173530.0,28278530375.0,6143216750.0,23537093475.125,29680310225.125,4309102953.530595,-110931980.0,-3231028.5,4194939945.030595,4198170973.530595,-110931980.0
7,7667701000.0,4523943590.000001,3143757409.999999,0.41,2214994696.4126964,928762713.5873027,2971017007.3639274,1418524685.0,283704937.0,1134819748.0,-207027927.0,1341847675.0,0.175,0.3152578324150974,4256350000.0,766770100.0,3833850500.0,1507981196.666667,6108601796.666667,37187495866.29583,15937498228.4125,59233595891.375,2261971795.0000005,383385050.0,2645356845.0000005,25633173530.0,28278530375.0,6143216750.0,24811848766.375,30955065516.375,4312864682.363928,-108468450.0,0.0,4204396232.363928,4204396232.363928,-108468450.0
8,7670634500.0,4525674355.000001,3144960144.999999,0.41,2215842106.4697556,929118038.5302434,2972153655.544536,1419067382.5,283813476.5,1135253906.0,-207107131.5,1342361037.5,0.175,0.3153784433845901,4256350000.0,767063450.0,3835317250.0,1508558118.3333335,6110938818.333334,38078530041.066666,16319370017.599998,60508838877.0,2262837177.5000005,383531725.0,2646368902.5000005,25632161472.5,28278530375.0,6143216750.0,26087091752.0,32230308502.0,4313336403.877871,-102906430.0,-1012057.5,4209417916.3778706,4210429973.8778706,-102906430.0
