ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets,pd_1yr,spread_bps,beta,market_cap,log_market_cap
MSFT,Microsoft,Technology,AAA,0,2025-06-30,0.1763950634536609,53.89014675052411,1.3534464445042416,0.3614601524896707,0.1645097035070912,0.3782848937033684,11.7916927538348,0.0001,23.3,1.07,3627457437716.0,15.104042530443802
JNJ,Johnson & Johnson,Healthcare,AAA,0,2024-12-29,0.512435305637152,29.3364238410596,1.1107291190556627,0.1583634500850024,0.078099320392662,1.4783099955611154,11.255523358342224,0.0001,33.8,0.349,500603336294.0,13.123569322548095
AAPL,Apple,Technology,AA+,1,2025-09-27,1.3380304612588665,100.0,0.8932929222186667,0.2691506412181824,0.3117962593356549,0.6830924965553532,11.555385896641203,0.0018,83.0,1.107,4045913214930.0,15.21321784688265
GOOGL,Alphabet,Technology,AA+,1,2024-12-31,0.0783212954190301,200.0,1.8369313974102912,0.28603671811164,0.2223579474787676,0.1880511691803182,11.653459508830892,0.0018,69.8,1.07,3790322215764.9995,15.147961590797081
GOOG,Alphabet Class C,Technology,AA+,1,2024-12-31,0.0783212954190301,200.0,1.8369313974102912,0.28603671811164,0.2223579474787676,0.1880511691803182,11.653459508830892,0.0018,71.3,1.07,3809389072719.0005,15.152979385877993
BRK-B,Berkshire Hathaway,Financials,AA,1,2024-12-31,0.2210256741939855,11.43,5.941609333752787,0.2395990663188246,0.0771266707745426,1.1175417150065017,12.062161022244156,0.0002,38.3,0.703,1081558208077.0,13.893913344542268
WMT,Walmart,Consumer Staples,AA,1,2025-01-31,0.6604990495863229,10.758064516129032,0.8226828460200447,0.0285410104481009,0.0745179681239767,1.4309450130921209,11.416345885881409,0.0002,47.6,0.641,889849947544.0,13.698808129228869
AMZN,Amazon,Consumer Discretionary,AA,1,2024-12-31,0.4577403224114417,28.509143807148796,1.063734806137178,0.0928711719718665,0.0948128802644928,1.0572224690061789,11.79580635475318,0.0002,37.7,1.372,2484055654484.0,14.72540312697131
XOM,Exxon Mobil,Energy,AA-,1,2024-12-31,0.1581691663032555,39.81124497991968,1.3084045685351386,0.099278696642859,0.0742709079883124,0.5689459971900533,11.656553349474782,0.0018,81.6,0.379,503276544375.0,13.12889508801266
CVX,Chevron,Energy,AA-,1,2024-12-31,0.1611168739085334,48.98821548821549,1.0610249494268376,0.0913119008965224,0.0687364266865936,0.5357010325031106,11.40982833926003,0.0018,79.1,0.673,301122645244.0,12.615272920024413
UNH,UnitedHealth,Healthcare,AA-,1,2024-12-31,0.829976904314792,8.26600102406554,0.8266341585637329,0.0359874886953567,0.0482938735005598,2.739136629149451,11.474621222416884,0.0018,106.0,0.432,296734615140.0,12.600593466612356
PG,Procter & Gamble,Consumer Staples,AA-,1,2025-06-30,0.6818234253633777,22.54796030871003,0.7041987908369849,0.1895258886621423,0.1275562760019484,1.4825049120020066,11.097711848542565,0.0018,92.2,0.382,337634630495.0,12.729719614923576
HD,Home Depot,Consumer Discretionary,AA-,1,2025-01-31,9.38102409638554,9.274450667815596,1.1054394473326123,0.0928194390461025,0.154038223452179,2.448987615490466,10.982809243855325,0.0018,145.8,1.051,345697730284.0,12.753320060322643
META,Meta Platforms,Technology,AA-,1,2024-12-31,0.2686202686202686,97.03496503496504,2.9778842719371355,0.3790858414234564,0.2258978315836756,0.5647129241677794,11.440994044413458,0.0018,60.3,1.273,1682616594186.0,14.335860636278912
V,Visa,Financials,AA-,1,2025-09-30,0.6639848057189586,40.73684210526316,1.0775507874914405,0.50145,0.2013309644975759,0.968003691881706,10.998377052900985,0.0018,75.4,0.822,689123896107.0,13.44317635401441
MA,Mastercard,Financials,AA-,1,2024-12-31,2.810485736314572,24.120743034055728,1.026222684703434,0.4570596797671033,0.2677564942492876,1.0850747157230458,10.681973491647875,0.0018,97.3,0.868,520322473506.0,13.162204039707111
LLY,Eli Lilly,Healthcare,AA-,1,2024-12-31,2.370628730068137,22.420830130668715,1.1537569687700429,0.235110239839086,0.1345361551624914,2.2094223646536553,10.896056948055287,0.0018,106.6,0.369,967435684722.0,13.78240422593693
ABBV,AbbVie,Healthcare,AA-,1,2024-12-31,20.403308270676693,3.2539173789173788,0.6601976825208392,0.0759399297049739,0.0316511419714266,4.550033534540577,11.130851396278912,0.0018,183.4,0.349,406265566936.0,12.914762330503637
COP,ConocoPhillips,Energy,AA-,1,2024-12-31,0.3911969874683622,11.537003610108304,1.2905806664467172,0.1687907419614736,0.0750773741651734,1.0377891504605936,11.08912762904428,0.0018,82.4,0.328,114369735575.0,11.64719177375895
MRK,Merck,Healthcare,AA-,1,2024-12-31,0.8263338587437653,15.909520062942564,1.3646023926812103,0.2667528986410672,0.1461667207487234,1.48875748852408,11.068579146994962,0.0018,84.6,0.299,267530643934.0,12.496989395519691
PFE,Pfizer,Healthcare,AA-,1,2024-12-31,0.7595319887078671,5.332578453574895,1.1712524712175834,0.1260471183617018,0.0375827100789143,3.6957577094941247,11.32918627453452,0.0018,105.3,0.42,142682831017.0,11.868379480998719
TMO,Thermo Fisher,Healthcare,AA-,1,2024-12-31,0.6609995159728945,4.632406287787183,1.6604410441044104,0.1477413185941836,0.0650938646335323,2.777542372881356,10.988206562776767,0.0018,117.5,0.902,219487264708.0,12.299049490260632
ABT,Abbott Labs,Healthcare,AA-,1,2024-12-31,0.3204724739845586,11.318407960199004,1.6709754891573074,0.3194755661501788,0.1646154224089223,1.4099132361085471,10.910699092849224,0.0018,78.8,0.714,217239454230.0,12.288755499855071
