ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets
TMO,Thermo Fisher,Healthcare,AA-,1,2024-12-31,0.6609995159728945,4.632406287787183,1.6604410441044104,0.14774131859418363,0.06509386463353233,2.777542372881356,10.988206562776769
ABT,Abbott Labs,Healthcare,AA-,1,2024-12-31,0.3204724739845586,11.318407960199005,1.6709754891573074,0.3194755661501788,0.1646154224089223,1.4099132361085471,10.910699092849224
DHR,Danaher,Healthcare,AA-,1,2024-12-31,0.3460832004521325,18.64748201438849,1.3970285378052367,0.1633089005235602,0.05028242758762993,2.3565145684442,10.889536998344678
NVO,Novo Nordisk,Healthcare,AA-,1,2024-12-31,0.7163556026371911,78.25548780487804,0.7396611010996286,0.3477512284652707,0.21680782318401873,0.7482165734917308,11.668194822360826
NVDA,Nvidia,Technology,A+,2,2025-01-26,0.1294641168832806,200.0,4.439851498864077,0.5584802715771244,0.5,0.11922867060612745,11.04766808611174
KO,Coca-Cola,Consumer Staples,A+,2,2024-12-31,1.8399983907306083,6.033816425120773,1.0296249356410154,0.22589830220352308,0.1057295447990532,2.8915091357400264,11.002377755722005
PEP,PepsiCo,Consumer Staples,A+,2,2024-12-31,2.491436173161133,15.554951033732317,0.8189370877727042,0.10427530946185753,0.09629324298511063,2.694724220623501,10.997679019488992
COST,Costco,Consumer Staples,A+,2,2025-08-31,0.2802427650528048,67.42207792207792,1.0342783227336423,0.029425763438516175,0.10504675806430692,0.6100164203612479,10.887048745141769
ACN,Accenture,Technology,A+,2,2025-08-31,0.2623096332714717,44.7404957231301,1.4200349477501015,0.11020675921455172,0.11741639412628786,0.6323433747983662,10.815543860079494
NKE,Nike,Consumer Discretionary,A+,2,2025-05-31,0.8338757284492545,12.809688581314878,2.2110543251940187,0.06951132609212032,0.08800131222832773,2.4430155210643014,10.563231828520982
CSCO,Cisco,Technology,A+,2,2025-07-26,0.6328160023909656,7.382297551789077,0.9977754962354551,0.17968722420305716,0.08324406538502424,1.9276238782676551,11.087394496331772
TXN,Texas Instruments,Technology,A+,2,2024-12-31,0.804354256640833,10.757874015748031,4.124622563821027,0.3068218144619909,0.13514883550649132,1.8029439066436812,10.550338441927154
NEE,NextEra Energy,Utilities,A+,2,2024-12-31,1.6433404522863815,3.3463087248322148,0.4713468743837507,0.28061245101603843,0.0365302086839448,5.86709898097342,11.27908262578755
LIN,Linde,Materials,A+,2,2024-12-31,0.5935367006195527,15.026223776223777,0.8900577557755776,0.19890925617330707,0.08191198672439393,1.7497871681758377,10.903887270822045
BMY,Bristol-Myers Squibb,Healthcare,A+,2,2024-12-31,3.1343740434649527,4.96045197740113,1.2526289223521494,-0.18525879917184265,-0.09662753906460914,16.161616161616163,10.966625056469635
UNP,Union Pacific,Industrials,A+,2,2024-12-31,1.9220248667850799,7.654058313632782,0.7653216596878569,0.2782268041237113,0.0996381894705752,2.597455592894863,10.830684882801087
HON,Honeywell,Industrials,A+,2,2024-12-31,1.7307589021966807,7.438563327032136,1.3129469326307865,0.1481972152950956,0.07586839725517315,3.3550234252993234,10.876194739206925
RTX,RTX Corp,Industrials,A+,2,2024-12-31,0.7130294567457943,3.3857868020304567,0.9928930658847744,0.059129530084966186,0.029313340824383985,3.5262249260111806,11.211817097122351
SPGI,S&P Global,Financials,A+,2,2024-12-31,0.35987213124641876,18.78787878787879,0.8540362953692116,0.27111486486486486,0.0639643978014314,1.7605488344644438,10.779747962914968
MDT,Medtronic,Healthcare,A+,2,2025-04-30,0.5937864401132767,8.168724279835391,1.849056603773585,0.13901064495929868,0.050850785340314134,3.0935126925580385,10.962274604623314
BLK,BlackRock,Financials,A+,2,2024-12-31,0.2994420465312138,14.078066914498141,2.186854215507511,0.31209878963100895,0.045947408289146195,1.7329109296941636,11.141810229299901
SCHW,Charles Schwab,Financials,A+,2,2024-12-31,0.9330025839793281,1.2031909901454716,0.5428960336765688,0.2285472518173776,0.012383217010563871,4.945107921551441,11.681099163652558
ADP,ADP,Industrials,A+,2,2025-06-30,1.4649967679379443,11.870805001096732,1.0478193142643957,0.19842030261321245,0.07644282387065222,1.4523229734059597,10.727291506567294
CB,Chubb,Financials,A+,2,2024-12-31,0.2388122647256369,15.458839406207828,0.0,0.16512911843276937,0.03760728134075312,1.2212636792076044,11.391901483879986
MMC,Marsh McLennan,Financials,A+,2,2024-12-31,1.6385849198021287,8.31,1.1331591351572907,0.1659988551803091,0.07188257998264903,3.156511695062085,10.75190237732557
SYK,Stryker,Healthcare,A+,2,2024-12-31,0.6843074537171658,12.780303030303031,1.9494485294117647,0.13246293427749503,0.06965162551488213,2.8594572701498584,10.633175460489314
CI,Cigna,Healthcare,A+,2,2024-12-31,0.7791777349937855,6.562369337979094,0.8428913917107919,0.0138960266428187,0.022029625162784432,2.793290232395597,11.192793183193842
ZTS,Zoetis,Healthcare,A+,2,2024-12-31,1.4138364779874213,14.016528925619834,1.7543962485345839,0.2685825410544512,0.1746154386457821,1.7417355371900827,10.153418485037712
CRM,Salesforce,Technology,A,2,2025-01-31,0.18622594935674236,26.488970588235293,1.0624374553252323,0.16353080881382767,0.060207135084719414,1.022345867360675,11.012533534056294
INTC,Intel,Technology,A,2,2024-12-28,0.5037876498438602,-14.172330097087379,1.3268659227275277,-0.35321368712453627,-0.09545766852431484,41.57190357439734,11.293329401195502
MCD,McDonalds,Consumer Discretionary,A,2,2024-12-31,50.0,7.776892430278885,1.191142191142191,0.31724537037037037,0.1490159834728716,3.7244049326068254,10.741797436868486
CAT,Caterpillar,Industrials,A,2,2024-12-31,1.970601816222872,25.53125,1.4155304908279622,0.1665200820873644,0.12296613645686158,2.3948746726524504,10.94331640875922
DE,Deere,Industrials,A,2,2025-11-02,2.463815028901734,2.6548895899053626,2.307872438761362,0.11254897570804881,0.04742631797426318,5.485243651338367,11.02528947648453
GS,Goldman Sachs,Financials,A,2,2024-12-31,5.0570100659038,0.25084195743172305,0.9264155113556896,0.1125397113194012,0.008518042067528575,29.676030593102123,12.224266758717246
MS,Morgan Stanley,Financials,A,2,2024-12-31,3.449282850609027,0.3865213953079694,0.6595712456270597,0.12981724756410878,0.011019932168572865,15.840752295996836,12.084601655718128
AXP,American Express,Financials,A,2,2024-12-31,1.6881112873380915,1.5626514784294716,0.26471376090616866,0.13650759423727443,0.037312910510165366,3.506210966989225,11.433707444601053
PLD,Prologis,Real Estate,A,2,2024-12-31,0.5837609579245576,5.274024956526724,0.9169590258176784,0.45498810599382317,0.03914484115201612,4.181050256528442,10.979224622729582
TGT,Target,Consumer Discretionary,A,2,2025-02-01,1.3551752352379653,13.708029197080291,0.9353334294918025,0.03838935495373759,0.07081652789558414,2.290802213001383,10.761694849829093
ISRG,Intuitive Surgical,Healthcare,A,2,2024-12-31,0.008884183111533009,100.0,4.074371168280525,0.27808575088899795,0.12328941641098595,0.051940659575225014,10.275048624843988
VRTX,Vertex Pharma,Healthcare,A,2,2024-12-31,0.10661442082683308,-7.611111111111111,2.692139370476351,-0.04860209979945736,-0.023769371416398913,3.5975735142915894,10.352822871424538
REGN,Regeneron,Healthcare,A,2,2024-12-31,0.09213179984737818,72.29528985507247,4.731105646122252,0.3107027179270525,0.11686096707045134,0.5085370440015043,10.577025084705495
GILD,Gilead Sciences,Healthcare,A,2,2024-12-31,1.3818416968442835,1.7011258955987718,1.5972175941352882,0.01669332962370453,0.00813628273582507,6.024131709517365,10.770815205465428
NOW,ServiceNow,Technology,A,2,2024-12-31,0.2370694140909564,59.30434782608695,1.0991864082316343,0.12973415877640204,0.06991120051022912,1.0233602875112309,10.309268104477123
