period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,23257717000.0,17957331748.860508,5300384987.139492,0.22789790792039208,3232769107.6949887,2067615879.4445033,1093522723.5684214,3145205582.009497,31452055.820094973,3113753526.189402,121477709.87944889,2992275816.309953,0.12865733340359628,0.9421523351101868,3176000000.0,2325771673.6,11628858368.0,5985777249.620169,19940407291.22017,40712677396.14588,17448290312.63395,78101375000.0,8978665874.430254,1162885836.8,10141551711.230253,24512198288.769745,34653750000.0,2250000.0,43445375000.0,43447625000.0,4085798539.8783746,-2159972000.0,0.0,1925826443.8783746,1925826443.8783746,-2159972000.0
2,23244286000.0,17946961812.43584,5297324139.564159,0.22789790792039208,3230902259.6247263,2066421879.939433,1092891239.9337187,3143389299.8143415,230135400.97103634,2913253898.843305,-77293948.61168814,2990547847.4549932,0.12865733340359628,0.9416082643120256,3176000000.0,2324428595.2000003,11622142976.0,5982320604.145281,19928892175.345284,42814121470.47679,18348909201.63291,81091922847.45499,8973480906.21792,1162214297.6000001,10135695203.81792,24518054796.18208,34653750000.0,2250000.0,46435922847.454994,46438172847.454994,4088426156.651266,-1926842200.0,5856507.412334442,2167440424.0636005,2161583916.651266,-1926842200.0
3,23280796000.0,17975151025.09863,5305644622.901371,0.22789790792039208,3235977023.3558292,2069667599.5455418,1094607839.317044,3148326607.3308153,230135400.97103634,2918191206.359779,-77053881.22595024,2995245087.585729,0.12865733340359628,0.9430872442020558,3176000000.0,2328079564.8,11640397824.0,5991717008.36621,19960194397.16621,44888881476.512146,19238092061.362347,84087167935.04071,8987575512.549314,1164039782.4,10151615294.949314,24502134705.050686,34653750000.0,2250000.0,49431167935.040726,49433417935.040726,4076296281.013238,-1987982800.0,-15920091.131393433,2072393341.8818445,2088313433.013238,-1987982800.0
4,23208335000.0,17919204285.14114,5289131074.85886,0.22789790792039208,3225905210.0630617,2063225864.7957983,1091200928.295479,3138527601.483485,230135400.97103634,2908392200.512449,-77530339.64154387,2985922540.1539927,0.12865733340359628,0.9401519332978566,3176000000.0,2320833536.0,11604167680.0,5973068095.047047,19898069311.047047,47022514814.90336,20152506349.244297,87073090475.1947,8959602142.57057,1160416768.0,10120018910.57057,24533731089.42943,34653750000.0,2250000.0,52417090475.19472,52419340475.19472,4104029155.7898903,-1849198800.0,31596384.378742218,2286426692.1686325,2254830307.7898903,-1849198800.0
