period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,106178170000.0,59459775200.00001,46718394799.99999,0.44,23785552143.2931,22932842656.706894,2984595463.438429,30791669299.999996,307916692.99999994,30483752606.999996,3939210106.999996,26544542500.0,0.25,1.7757328494497775,14948500000.0,10617817000.0,53089085000.0,19819925066.666668,83526827066.66667,180590671053.3333,77396001879.99998,341513500000.0,29729887600.000004,5308908500.0,35038796100.0,238195453900.0,273234250000.0,89213250000.0,-20934000000.0,68279250000.0,29529137963.43843,-3062012000.0,0.0,26467125963.43843,26467125963.43843,-3062012000.0
2,94863065000.0,53123316400.00001,41739748599.99999,0.44,21250793633.287357,20488954966.712635,2666535630.128724,27510288850.0,341542812.5,27168746037.5,3452979787.5,23715766250.0,0.25,1.5864980600060206,14948500000.0,9486306500.0,47431532500.0,17707772133.333336,74625611133.33334,186821522206.66666,80066366660.0,341513500000.0,26561658200.000004,4743153250.0,31304811450.000004,241929438550.0,273234250000.0,89213250000.0,-22119788312.5,67093461687.5,30983777913.462055,-2399233500.0,3733984650.0,32318529063.462055,28584544413.462055,-2399233500.0
3,83922215000.0,46996440400.00001,36925774599.99999,0.44,18799874031.198265,18125900568.801727,2358995847.9290466,24337442350.0,341542812.5,23995899537.5,3015345787.5,20980553750.0,0.25,1.4035223433789343,14948500000.0,8392221500.0,41961107500.0,15665480133.333336,66018809133.333336,192846283606.66666,82648407260.0,341513500000.0,23498220200.000004,4196110750.0,27694330950.000004,245539919050.0,273234250000.0,89213250000.0,-23168816000.0,66044434000.0,27788828597.929047,-2300004600.0,3610480500.0,29099304497.929047,25488823997.929047,-2300004600.0
4,91932660000.0,51482289600.00001,40450370399.99999,0.44,20594337594.080173,19856032805.91982,2584163957.4107137,26660471400.0,341542812.5,26318928587.5,3335763587.5,22983165000.0,0.25,1.5374897146870923,14948500000.0,9193266000.0,45966330000.0,17160763200.000004,72320359200.0,188435198560.0,80757942240.0,341513500000.0,25741144800.000004,4596633000.0,30337777800.000004,242896472200.0,273234250000.0,89213250000.0,-24317974250.0,64895275750.0,22309747990.744045,-2879755000.0,-2643446850.0,16786546140.744045,19429992990.744045,-2879755000.0
