date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2018-06-30,52886000000,30632000000,2534000000,2983000000,2608000000,343000000,3630000000,9720000000,134100000000,99105000000,34995000000,24638000000,13733000000,5000000,3243000000.0,0.0,0.0,7449000000.0,19271000000,9635500000.0
2018-09-30,56576000000,33003000000,2883000000,3724000000,3390000000,358000000,3778000000,9760000000,143695000000,104570000000,39125000000,24684000000,16616000000,5000000,3352000000.0,0.0,0.0,8588000000.0,19849000000,9924500000.0
2018-12-31,72383000000,44786000000,3027000000,3786000000,3354000000,387000000,4262000000,9800000000,162648000000,119099000000,43549000000,33145000000,19625000000,5000000,3734000000.0,0.0,0.0,16477000000.0,23811000000,11905500000.0
2019-03-31,59700000000,33920000000,3561000000,4420000000,4401000000,366000000,4854000000,9820000000,178102000000,129692000000,48410000000,56597000000,23193000000,5000000,3290000000.0,0.0,0.0,1846000000.0,21360000000,10680000000.0
2019-06-30,63404000000,36337000000,2625000000,3084000000,2882000000,383000000,5202000000,9860000000,191351000000,138290000000,53061000000,58463000000,25818000000,5000000,3562000000.0,0.0,0.0,9118000000.0,23983000000,11991500000.0
2019-09-30,69981000000,41302000000,2134000000,3157000000,2628000000,396000000,5563000000,9900000000,199099000000,142591000000,56508000000,59530000000,27952000000,5000000,4697000000.0,0.0,0.0,7892000000.0,25522000000,12761000000.0
2019-12-31,87436000000,53977000000,3268000000,3879000000,4053000000,455000000,6170000000,9920000000,225248000000,163188000000,62060000000,63205000000,31220000000,5000000,5312000000.0,0.0,0.0,19659000000.0,29580000000,14790000000.0
2020-03-31,75452000000,44257000000,2535000000,3989000000,3279000000,402000000,5362000000,9960000000,221238000000,155966000000,65272000000,63737000000,33755000000,5000000,6795000000.0,0.0,0.0,3064000000.0,27206000000,13603000000.0
2020-06-30,88912000000,52660000000,5243000000,5843000000,6227000000,403000000,5748000000,10000000000,258314000000,184586000000,73728000000,75926000000,38998000000,5000000,7459000000.0,0.0,0.0,20606000000.0,30409000000,15204500000.0
2020-09-30,96145000000,57106000000,6331000000,6194000000,6900000000,428000000,6523000000,10020000000,282179000000,199404000000,82775000000,81518000000,45329000000,5000000,11063000000.0,0.0,0.0,11964000000.0,32845000000,16422500000.0
2020-12-31,125555000000,79284000000,7222000000,6873000000,7788000000,414000000,7618000000,10040000000,321195000000,227791000000,93404000000,84389000000,52551000000,5000000,14823000000.0,0.0,0.0,30431000000.0,39398000000,19699000000.0
2021-03-31,108518000000,62403000000,8107000000,8865000000,10268000000,399000000,7508000000,10080000000,323077000000,219757000000,103320000000,84935000000,60658000000,5000000,12082000000.0,0.0,0.0,4213000000.0,37250000000,18625000000.0
2021-06-30,113080000000,64176000000,7778000000,7702000000,8646000000,435000000,8038000000,10100000000,360319000000,245516000000,114803000000,106576000000,68436000000,5000000,14288000000.0,0.0,0.0,12715000000.0,41202000000,20601000000.0
2021-09-30,110812000000,62930000000,3156000000,4852000000,4315000000,493000000,8948000000,10140000000,382406000000,261842000000,120564000000,113903000000,71592000000,5000000,15748000000.0,0.0,0.0,7313000000.0,43030000000,21515000000.0
2021-12-31,137412000000,82835000000,14323000000,3460000000,14934000000,482000000,9802000000,10160000000,420549000000,282304000000,138245000000,116395000000,85915000000,106000000,18935000000.0,0.0,0.0,22086000000.0,51117000000,25558500000.0
2022-03-31,116444000000,66499000000,-3844000000,3669000000,-5265000000,472000000,9193000000,10180000000,410767000000,276766000000,134001000000,113287000000,82071000000,5000000,14951000000.0,0.0,2666000000.0,-2790000000.0,46276000000,23138000000.0
2022-06-30,121234000000,66424000000,-2028000000,3317000000,-2665000000,584000000,9716000000,10175000000,419728000000,288326000000,131402000000,124577000000,80043000000,107000000,15724000000.0,0.0,3334000000.0,8965000000.0,51493000000,25746500000.0
2022-09-30,127101000000,70268000000,2872000000,2525000000,2941000000,617000000,10327000000,10191000000,428362000000,290873000000,137489000000,128251000000,82915000000,107000000,16378000000.0,0.0,0.0,11404000000.0,54308000000,27154000000.0
2022-12-31,149204000000,85640000000,278000000,2737000000,-949000000,694000000,13145000000,10220000000,462675000000,316632000000,146043000000,140118000000,83193000000,108000000,16592000000.0,0.0,0.0,29173000000.0,60827000000,30413500000.0
2023-03-31,127358000000,67791000000,3172000000,4774000000,4119000000,823000000,11123000000,10250000000,464378000000,309852000000,154526000000,141351000000,86365000000,108000000,14207000000.0,0.0,0.0,4788000000.0,54793000000,27396500000.0
2023-06-30,134383000000,69373000000,6750000000,7681000000,7563000000,840000000,11589000000,10285000000,477607000000,309005000000,168602000000,138914000000,93115000000,108000000,11455000000.0,0.0,0.0,16476000000.0,57329000000,28664500000.0
2023-09-30,143083000000,75022000000,9879000000,11188000000,12189000000,806000000,12131000000,10322000000,486883000000,303910000000,182973000000,136989000000,102994000000,108000000,12479000000.0,0.0,0.0,21217000000.0,56873000000,28436500000.0
