period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,139495460000.0,77109672733.5054,62385784034.4946,0.44722448658848213,85783011914.93283,-23397227880.438232,11493574363.547682,5197109424.539388,51971094.24539388,5145138330.293994,997857952.4284792,4147280377.8655148,0.02973057670805013,0.4017903873150082,10322000000.0,13949545676.800001,69747728384.0,25703224244.5018,109400498305.3018,235877688686.28873,101090438008.40945,446368625000.0,38554836366.7527,6974772838.400001,45529609205.1527,251678890794.8473,297208500000.0,94625000.0,149065500000.0,149160125000.0,15640854741.413197,-12699271000.0,0.0,2941583573.4131966,2941583573.4131966,-12699271000.0
2,133459300000.0,73773031007.45027,59686265248.54973,0.44722448658848213,82071062858.538,-22384797609.988266,10996231573.163006,4972223342.857737,994444668.5715474,3977778674.286189,9956829.544793606,3967821844.7413955,0.02973057670805013,0.38440436395479516,10322000000.0,13345929625.6,66729648127.99999,24591010335.816757,104666588089.41675,241438207168.21793,103473517357.8077,449578312615.4424,36886515503.725136,6672964812.8,43559480316.52514,253649019683.47485,297208500000.0,94625000.0,152275187615.44235,152369812615.44235,17426026719.56189,-12704626000.0,1970128888.6275635,6691529944.189453,4721401055.56189,-12704626000.0
3,133283620000.0,73675920820.35945,59607697995.64055,0.44722448658848213,81963029663.20772,-22355331667.56717,10981756824.1825,4965678220.168749,993135644.0337498,3972542576.1349993,9943722.999397755,3962598853.1356015,0.02973057670805013,0.38389835818015905,10322000000.0,13328361881.6,66641809407.99999,24558640273.45315,104528811563.05315,243778474545.5746,104476489090.96054,452783775199.5883,36837960410.179726,6664180940.8,43502141350.97973,253706358649.02026,297208500000.0,94625000.0,155480650199.5883,155575275199.5883,15016009366.136297,-14403846000.0,57338965.545410156,669502187.6817074,612163222.1362972,-14403846000.0
4,134975820000.0,74611330338.98741,60364493533.01259,0.44722448658848213,83003654568.45306,-22639161035.440475,11121184194.077812,5028723820.710546,1005744764.1421092,4022979056.5684366,10069971.209676743,4012909085.35876,0.02973057670805013,0.38877243609366013,10322000000.0,13497582387.2,67487911936.0,24870443446.32914,105855937769.52914,245121798206.97723,105052199231.56168,456029935208.0681,37305665169.493706,6748791193.6,44054456363.093704,253154043636.9063,297208500000.0,94625000.0,158726810208.0681,158821435208.0681,14443892337.874557,-15947960000.0,-552315012.1139526,-2056382994.2393951,-1504067982.1254425,-15947960000.0
