sales_revenue,cost_of_goods_sold,overhead_expenses,payroll_expenses,capex
143083110000.0,75022060000.0,56873030000.0,28436515000.0,12478994000.0
143083110000.0,75022060000.0,56873030000.0,28436515000.0,12478994000.0
143083110000.0,75022060000.0,56873030000.0,28436515000.0,12478994000.0
143083110000.0,75022060000.0,56873030000.0,28436515000.0,12478994000.0
