sales_revenue,cost_of_goods_sold,overhead_expenses,payroll_expenses,capex,period
147290882048.0,85187788800.0,58590892032.0,29295446016.0,18202079232.0,1
149085274112.0,85262704640.0,58769473536.0,29384736768.0,18202079232.0,2
147903561728.0,84401168384.0,58581270528.0,29290635264.0,12877707264.0,3
148028817408.0,85178204160.0,58562777088.0,29281388544.0,13435375616.0,4
