period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,89551890000.0,50404686088.80545,39147202295.19455,0.43714546953304534,18344010705.724556,20803191589.469994,2605322147.277929,26917861824.71151,269178618.2471151,26648683206.464394,3984925617.28516,22663757589.179234,0.2530796167245146,1.452857686322416,15599434000.0,8955188838.4,44775944192.0,16801562029.601816,70532695060.00182,194528550957.99872,83369378981.99945,348430625000.0,25202343044.402725,4477594419.2,29679937463.602726,257573812536.39728,287253750000.0,65876875000.0,-4700000000.0,61176875000.0,25269079736.45716,-2414821400.0,0.0,22854258360.45716,22854258360.45716,-2414821400.0
2,86246820000.0,48544412132.58515,37702405659.41485,0.43714546953304534,17666992594.5838,20035413064.831047,2509168132.359433,25924410596.35898,2077922761.9785328,23846487834.380447,2019176243.8720398,21827311590.508408,0.2530796167245146,1.3992374076205847,15599434000.0,8624681779.2,43123408896.0,16181470710.86172,67929561386.061714,196350744529.7568,84150319084.18149,348430625000.0,24272206066.29258,4312340889.6,28584546955.89258,258669203044.10742,287253750000.0,65876875000.0,-4702218245.265755,61174656754.734245,25678969359.49779,-2323094300.0,1095390507.710144,24451265595.207935,23355875087.49779,-2323094300.0
3,93643460000.0,52707643746.36445,40935812765.63555,0.43714546953304534,19182136745.249184,21753676020.386368,2724357638.9167566,28147721602.136097,2077922761.9785328,26069798840.157562,2370548757.3418503,23699250082.815712,0.2530796167245146,1.5192378186808388,15599434000.0,9364345651.2,46821728256.0,17569214582.121483,73755288489.32147,192272735557.47495,82402600953.20355,348430625000.0,26353821873.182228,4682172825.6,31035994698.782227,256217755301.21777,287253750000.0,65876875000.0,-4704626730.116501,61172248269.8835,23419160297.36235,-2433129000.0,-2451447742.8896484,18534583594.472702,20986031337.36235,-2433129000.0
4,97257480000.0,54741813347.8673,42515666844.1327,0.43714546953304534,19922441503.451324,22593225340.681374,2829499988.276451,29234039175.165146,2077922761.9785328,27156116413.186615,2542230602.6031837,24613885810.58343,0.2530796167245146,1.5778704413623874,15599434000.0,9725748019.2,48628740096.0,18247271115.95577,76601759231.15576,190280206038.19095,81548659730.65327,348430625000.0,27370906673.93365,4862874009.6,32233780683.533653,255019969316.46634,287253750000.0,65876875000.0,-4707128166.69722,61169746833.30278,25975402225.77702,-3144959700.0,-1197785984.7514343,21632656497.025585,22830442481.77702,-3144959700.0
