period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,133253650000.0,70624434500.0,62629215500.0,0.47,78000310164.42943,-15371094664.429428,11934290416.15437,11326560250.0,113265602.5,11213294647.5,2551807397.5,8661487250.0,0.065,0.8114565533071013,10674000000.0,13325365000.0,66626825000.0,23541478166.666664,103493668166.66666,396246607283.3333,169819974550.0,669560250000.0,35312217250.0,6662682500.0,41974899750.0,303774600250.0,345749500000.0,111500000.0,323699250000.0,323810750000.0,20595777666.15437,-14403846000.0,0.0,6191931666.154369,6191931666.154369,-14403846000.0
2,136409280000.0,72296918400.0,64112361600.0,0.47,79847464961.04608,-15735103361.046082,12216910853.68782,11594788800.0,1403080521.5715752,10191708278.428425,1325105078.4284248,8866603200.0,0.065,0.8306729623383924,10674000000.0,13640928000.0,68204640000.0,24098972800.0,105944540800.0,399806625344.0,171345696576.0,677096862720.0,36148459200.0,6820464000.0,42968923200.0,302780576800.0,345749500000.0,111500000.0,331235862720.0,331347362720.0,19784446370.354485,-14437473000.0,-994023450.0,4352949920.354485,5346973370.354485,-14437473000.0
3,136844700000.0,72527691000.0,64317009000.0,0.47,80102338993.02792,-15785329993.027924,12255907374.481073,11631799500.0,1403080521.5715752,10228718978.428425,1333813478.4284248,8894905500.0,0.065,0.8333244800449691,10674000000.0,13684470000.0,68422350000.0,24175897000.0,106282717000.0,404862370776.5,173512444618.5,684657532395.0,36263845500.0,6842235000.0,43106080500.0,302643419500.0,345749500000.0,111500000.0,338796532395.0,338908032395.0,20971564974.48107,-14512053000.0,-137157300.0,6322354674.481071,6459511974.481071,-14512053000.0
4,136844700000.0,72527691000.0,64317009000.0,0.47,80102338993.02792,-15785329993.027924,12255907374.481073,11631799500.0,1403080521.5715752,10228718978.428425,1333813478.4284248,8894905500.0,0.065,0.8333244800449691,10674000000.0,13684470000.0,68422350000.0,24175897000.0,106282717000.0,410154839549.0,175780645521.0,692218202070.0,36263845500.0,6842235000.0,43106080500.0,302643419500.0,345749500000.0,111500000.0,346357202070.0,346468702070.0,21150812874.48107,-14511803000.0,0.0,6639009874.481071,6639009874.481071,-14511803000.0
