period,is_revenue,is_cogs,is_gross_profit,is_gross_margin,is_operating_expenses,is_ebitda,is_depreciation,is_ebit,is_interest_expense,is_ebt,is_tax_expense,is_net_income,is_net_margin,is_eps,shares_outstanding,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,cf_operating,cf_investing,cf_financing,cf_net_change,cf_free_cash_flow,cf_capex
1,6000977000.0,1202442304.9309745,4798534591.069025,0.7996255733408218,1364164784.41786,3434369806.651165,187056567.1036226,3889091401.457119,38890914.01457119,3850200487.442548,786741945.8319888,3063458541.610559,0.5104933071234672,1.4477592351656705,2116000000.0,600097689.6,3000488448.0,400814101.64365816,4001400239.243658,55022169832.52944,23580929928.226902,82604500000.0,601221152.4654872,300048844.8,901269997.2654872,44953105002.73451,45854375000.0,2741875000.0,34008250000.0,36750125000.0,3250515108.7141814,-200528240.0,0.0,3049986868.7141814,3049986868.7141814,-200528240.0
2,5978773000.0,1197993210.3973792,4780779781.602621,0.7996255733408218,1359117308.9087336,3421662472.6938877,186364448.78180286,3874701575.6634655,279875884.90307444,3594825690.760391,542702093.5338445,3052123597.226547,0.5104933071234672,1.442402456156213,2116000000.0,597877299.2,2989386496.0,399331070.1324597,3986594865.3324594,55111041717.015366,23619017878.72087,82716654461.0687,598996605.1986896,298938649.6,897935254.7986896,44956439745.20131,45854375000.0,2741875000.0,34120404461.068687,36862279461.06869,3248848482.2527504,-199181300.0,3334742.466796875,3053001928.7195473,3049667186.2527504,-199181300.0
3,5978773000.0,1197993210.3973792,4780779781.602621,0.7996255733408218,1359117308.9087336,3421662472.6938877,186364448.78180286,3874701575.6634655,279875884.90307444,3594825690.760391,542702093.5338445,3052123597.226547,0.5104933071234672,1.442402456156213,2116000000.0,597877299.2,2989386496.0,399331070.1324597,3986594865.3324594,55189549839.76345,23652664217.041477,82828808922.13739,598996605.1986896,298938649.6,897935254.7986896,44956439745.20131,45854375000.0,2741875000.0,34232558922.137375,36974433922.137375,3238488046.0083494,-200511980.0,0.0,3037976062.0083494,3037976062.0083494,-200511980.0
4,5978773000.0,1197993210.3973792,4780779781.602621,0.7996255733408218,1359117308.9087336,3421662472.6938877,186364448.78180286,3874701575.6634655,279875884.90307444,3594825690.760391,542702093.5338445,3052123597.226547,0.5104933071234672,1.442402456156213,2116000000.0,597877299.2,2989386496.0,399331070.1324597,3986594865.3324594,55268057962.511536,23686310555.362087,82940963383.20609,598996605.1986896,298938649.6,897935254.7986896,44956439745.20131,45854375000.0,2741875000.0,34344713383.206062,37086588383.20606,3238488046.0083494,-197133470.0,0.0,3041354574.0083494,3041354574.0083494,-197133470.0
