period,is_revenue,is_cogs,is_gross_profit,is_gross_margin_pct,is_rd_expense,is_sga_expense,is_operating_expenses,is_ebitda,is_ebitda_margin_pct,is_depreciation,is_ebit,is_ebit_margin_pct,is_interest_expense,is_ebt,is_tax_expense,is_tax_rate_pct,is_net_income,is_net_margin_pct,is_eps,bs_cash,bs_accounts_receivable,bs_inventory,bs_current_assets,bs_ppe,bs_goodwill,bs_total_assets,bs_accounts_payable,bs_accrued_expenses,bs_current_liabilities,bs_total_debt,bs_total_liabilities,bs_common_stock,bs_retained_earnings,bs_total_equity,shares_outstanding,bs_current_ratio,bs_debt_to_equity,bs_asset_turnover,bs_roe,bs_roa,cf_operating_cash_flow,cf_depreciation,cf_change_ar,cf_change_inventory,cf_change_ap,cf_capex,cf_investing_cash_flow,cf_change_debt,cf_dividends,cf_financing_cash_flow,cf_change_in_cash,cf_free_cash_flow,cf_ocf_to_ni,cf_fcf_margin,cf_capex_to_revenue
1,35751930000.0,7341597000.0,28410335000.0,79.4651746749878,0,16992489000.0,22918393814.98575,5491941417.014252,15.361243783303923,893798297.6,4598143119.414251,12.861243783303921,137944293.58242753,4460198825.831823,892039765.1663647,20.0,3568159060.6654587,9.980325175843841,0.0,3575193190.4,17875965952.0,4894398122.666666,26345557265.066666,2649439497414.453,1135474070320.48,3811259125000.0,2447199061.333333,1787596595.2,4234795656.533333,3509588329343.467,3513823125000.0,148718000000.0,148718000000.0,297436000000.0,10000000000.0,6.221210986750075,11.799473935043057,0.009380609066826438,0.01199639270520535,0.0009362152883439692,4461957358.265459,893798297.6,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,4461957358.265459,4461957358.265459,1.2504928402584463,0.12480325175843843,0.0
2,35751930000.0,7341597000.0,28410335000.0,79.4651746749878,0,16992489000.0,22918393814.98575,5491941417.014252,15.361243783303923,893798297.6,4598143119.414251,12.861243783303921,919628623.8828503,3678514495.531401,735702899.1062803,20.0,2942811596.425121,8.23119602131451,0.29428115964251206,3575193190.4,17875965952.0,4894398122.666666,26345557265.066666,2650469481473.2017,1135915492059.9436,3812730530798.2124,2447199061.333333,1787596595.2,4234795656.533333,3509588329343.467,3513823125000.0,148718000000.0,150189405798.2126,298907405798.2126,10000000000.0,6.221210986750075,11.741389678758015,0.009376988909970296,0.009845228118609292,0.0007718383380765779,3836609894.0251207,893798297.6,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,3836609894.0251207,1.3037225688133658,0.1073119602131451,0.0
3,35751930000.0,7341597000.0,28410335000.0,79.4651746749878,0,16992489000.0,22918393814.98575,5491941417.014252,15.361243783303923,893798297.6,4598143119.414251,12.861243783303921,919628623.8828503,3678514495.531401,735702899.1062803,20.0,2942811596.425121,8.23119602131451,0.29428115964251206,3575193190.4,17875965952.0,4894398122.666666,26345557265.066666,2651499465531.95,1136356913799.4072,3814201936596.425,2447199061.333333,1787596595.2,4234795656.533333,3509588329343.467,3513823125000.0,148718000000.0,151660811596.42517,300378811596.4252,10000000000.0,6.221210986750075,11.683874474005126,0.009373371546212097,0.009797001262455703,0.0007715405857748363,3836609894.0251207,893798297.6,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,3836609894.0251207,1.3037225688133658,0.1073119602131451,0.0
4,35751930000.0,7341597000.0,28410335000.0,79.4651746749878,0,16992489000.0,22918393814.98575,5491941417.014252,15.361243783303923,893798297.6,4598143119.414251,12.861243783303921,919628623.8828503,3678514495.531401,735702899.1062803,20.0,2942811596.425121,8.23119602131451,0.29428115964251206,3575193190.4,17875965952.0,4894398122.666666,26345557265.066666,2652529449590.699,1136798335538.871,3815673342394.637,2447199061.333333,1787596595.2,4234795656.533333,3509588329343.467,3513823125000.0,148718000000.0,153132217394.63776,301850217394.63776,10000000000.0,6.221210986750075,11.62691999905054,0.0093697569723206,0.00974924458171816,0.0007712430631124921,3836609894.0251207,893798297.6,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,3836609894.0251207,1.3037225688133658,0.1073119602131451,0.0
